EmployeeID,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLevel,AgeGroup
4969-9A35,Non-Binary,39,Frequent Traveller,Technology,8,CA,Asian or Asian American,Information Systems,Software Engineer,Single,137427,0,Yes,No,10,9,10,8,Masters ,Above_Avergae
0CED-EE28,Female,48,Some Travel,Technology,25,CA,White,Computer Science,Data Scientist,Married,47464,0,No,No,10,4,8,10,No Formal Qualifications,Above_Avergae
D077-169C,Male,46,Some Travel,Sales,20,CA,Black or African American,Technical Degree,Sales Executive,Married,150731,2,No,No,10,8,9,3,High School ,Above_Avergae
63DA-AA21,Female,43,Some Travel,Technology,35,CA,White,Computer Science,Engineering Manager,Divorced,436813,2,No,No,10,8,9,7,Bachelors ,Above_Avergae
ACA9-5DC2,Female,46,Frequent Traveller,Sales,14,NY,White,Economics,Sales Executive,Married,205159,1,No,No,10,1,9,6,No Formal Qualifications,Above_Avergae
12B5-11CC,Female,30,Some Travel,Technology,8,IL,White,Information Systems,Software Engineer,Married,70771,1,No,No,10,9,9,2,Bachelors ,Above_Avergae
00A3-2445,Male,30,Some Travel,Technology,6,CA,Black or African American,Computer Science,Machine Learning Engineer,Married,126238,0,No,No,10,3,6,6,High School ,Above_Avergae
076F-8AA3,Male,39,Some Travel,Technology,5,CA,White,Computer Science,Data Scientist,Single,58685,0,No,Yes,9,6,6,2,High School ,Above_Avergae
3F19-FC5A,Male,35,Some Travel,Sales,29,NY,White,Marketing,Sales Executive,Divorced,182764,2,Yes,No,10,7,9,9,Doctorate,Above_Avergae
8233-2483,Female,35,Some Travel,Human Resources,7,CA,Mixed or multiple ethnic groups,Marketing,Recruiter,Divorced,47995,3,Yes,No,10,5,6,3,Bachelors ,Above_Avergae
1C87-44CB,Female,28,Frequent Traveller,Technology,9,CA,Black or African American,Computer Science,Software Engineer,Married,48930,1,Yes,Yes,7,4,6,2,Bachelors ,Below_Average
6345-2F33,Non-Binary,46,Some Travel,Technology,36,NY,Black or African American,Computer Science,Machine Learning Engineer,Married,102964,2,No,No,10,10,10,2,High School ,Above_Avergae
A2FB-2D5D,Female,43,Some Travel,Technology,11,CA,White,Information Systems,Analytics Manager,Married,482510,1,No,No,10,9,9,1,Doctorate,Above_Avergae
E5C1-B122,Female,36,No Travel ,Sales,33,NY,Asian or Asian American,Marketing,Sales Executive,Married,116057,1,No,No,10,2,10,2,Masters ,Above_Avergae
462E-03DF,Female,45,Some Travel,Technology,20,NY,White,Computer Science,Software Engineer,Married,90264,0,Yes,No,10,2,4,4,No Formal Qualifications,Above_Avergae
C2DD-9D37,Male,42,Some Travel,Sales,16,IL,Asian or Asian American,Marketing,Sales Executive,Married,106277,2,No,No,10,0,5,5,Masters ,Above_Avergae
AEDB-BB62,Male,39,Some Travel,Technology,34,CA,Mixed or multiple ethnic groups,Computer Science,Machine Learning Engineer,Divorced,264285,1,No,No,10,10,10,1,No Formal Qualifications,Above_Avergae
88B8-EB84,Female,34,Some Travel,Technology,41,CA,Black or African American,Information Systems,Engineering Manager,Divorced,357371,1,No,No,10,9,9,3,High School ,Above_Avergae
8822-B9C5,Female,41,Some Travel,Technology,9,CA,Black or African American,Computer Science,Machine Learning Engineer,Single,197592,0,Yes,No,10,5,10,0,Bachelors ,Above_Avergae
E8F5-C47D,Female,30,Some Travel,Human Resources,19,NY,Mixed or multiple ethnic groups,Human Resources,HR Executive,Married,97153,1,No,No,10,5,6,9,Bachelors ,Above_Avergae
D696-9D82,Male,38,Some Travel,Technology,39,NY,White,Computer Science,Data Scientist,Single,65416,0,No,No,10,5,10,7,Bachelors ,Above_Avergae
BE93-0736,Male,35,No Travel ,Technology,17,CA,Asian or Asian American,Computer Science,Senior Software Engineer,Divorced,117151,1,No,No,10,3,7,6,High School ,Above_Avergae
0322-D46B,Male,32,Some Travel,Sales,39,CA,Black or African American,Marketing,Sales Executive,Married,105748,2,No,No,10,0,1,8,Masters ,Above_Avergae
1E61-70EC,Male,46,Some Travel,Technology,11,CA,Black or African American,Information Systems,Software Engineer,Married,56608,3,Yes,No,10,3,5,9,Masters ,Above_Avergae
5222-EBE1,Male,30,Some Travel,Technology,14,CA,Asian or Asian American,Computer Science,Machine Learning Engineer,Married,194823,1,No,No,10,4,9,8,Masters ,Above_Avergae
DEBE-1622,Male,28,Frequent Traveller,Technology,22,CA,White,Computer Science,Machine Learning Engineer,Single,205433,0,No,Yes,4,1,2,1,Doctorate,Below_Average
A366-C17A,Male,42,Some Travel,Technology,34,NY,White,Business Studies,Machine Learning Engineer,Divorced,126463,1,No,No,10,0,1,8,Masters ,Above_Avergae
2962-039F,Female,47,Some Travel,Technology,5,NY,Mixed or multiple ethnic groups,Information Systems,Data Scientist,Single,133616,0,Yes,No,10,9,9,0,Doctorate,Above_Avergae
21CB-EF3E,Female,36,Some Travel,Technology,4,CA,White,Information Systems,Senior Software Engineer,Single,208338,0,No,No,10,10,10,1,Bachelors ,Above_Avergae
9727-BC84,Male,31,Some Travel,Sales,15,CA,White,Marketing,Sales Executive,Married,187930,3,No,Yes,3,2,2,0,Bachelors ,Above_Avergae
68FB-06A7,Female,43,Frequent Traveller,Sales,1,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Single,180996,0,No,No,10,8,10,9,Bachelors ,Above_Avergae
74F2-5C55,Male,47,Some Travel,Technology,40,NY,White,Computer Science,Data Scientist,Single,108798,0,No,No,10,0,4,7,High School ,Above_Avergae
085C-7FC2,Male,47,No Travel ,Sales,17,NY,White,Other,Sales Executive,Married,176158,0,No,No,10,9,10,2,Masters ,Above_Avergae
AB5F-244C,Male,36,Some Travel,Technology,7,CA,Black or African American,Computer Science,Data Scientist,Divorced,73643,1,No,No,10,0,7,9,Masters ,Above_Avergae
55D6-1423,Male,43,No Travel ,Technology,15,CA,Asian or Asian American,Other,Machine Learning Engineer,Divorced,76826,1,No,No,10,9,9,7,High School ,Above_Avergae
58C8-63FA,Male,38,Some Travel,Technology,40,CA,White,Computer Science,Senior Software Engineer,Divorced,126505,1,No,No,10,1,5,8,Masters ,Above_Avergae
87D2-8B67,Female,45,Some Travel,Technology,34,NY,White,Information Systems,Machine Learning Engineer,Divorced,152278,1,Yes,No,10,8,8,2,High School ,Above_Avergae
9FE1-0345,Male,28,Some Travel,Technology,6,CA,White,Information Systems,Data Scientist,Single,87175,0,No,No,10,6,10,7,No Formal Qualifications,Below_Average
EBBD-37D4,Non-Binary,35,Some Travel,Sales,26,CA,Black or African American,Marketing,Sales Executive,Single,98435,0,No,No,10,7,9,9,Masters ,Above_Avergae
9F65-F612,Female,28,Some Travel,Technology,33,CA,Asian or Asian American,Computer Science,Data Scientist,Single,54536,0,No,Yes,3,3,3,2,Bachelors ,Below_Average
152E-8DB1,Female,31,Some Travel,Technology,14,NY,Mixed or multiple ethnic groups,Other,Software Engineer,Single,63482,0,No,Yes,1,0,1,1,No Formal Qualifications,Above_Avergae
3994-472A,Male,29,Some Travel,Technology,33,CA,White,Computer Science,Software Engineer,Divorced,153909,1,No,No,10,10,10,2,Bachelors ,Above_Avergae
02DA-7A72,Male,29,Frequent Traveller,Sales,42,CA,White,Technical Degree,Sales Representative,Married,78726,1,No,Yes,6,0,1,1,Bachelors ,Above_Avergae
E1B4-9AA1,Female,46,Some Travel,Sales,36,CA,White,Marketing,Sales Executive,Married,96188,1,Yes,Yes,9,8,9,5,Bachelors ,Above_Avergae
8567-5B27,Female,28,Frequent Traveller,Sales,32,NY,Black or African American,Technical Degree,Sales Representative,Single,53439,0,Yes,Yes,3,0,0,1,No Formal Qualifications,Below_Average
5237-1B85,Female,28,Some Travel,Technology,9,NY,Asian or Asian American,Computer Science,Software Engineer,Single,43578,0,Yes,Yes,5,3,5,5,Masters ,Below_Average
F93D-CB5A,Female,40,Some Travel,Technology,26,CA,Mixed or multiple ethnic groups,Information Systems,Senior Software Engineer,Single,120858,0,No,No,10,9,9,8,Bachelors ,Above_Avergae
B785-D8F8,Male,32,Some Travel,Technology,36,CA,Black or African American,Computer Science,Software Engineer,Single,78672,0,No,No,10,6,9,5,High School ,Above_Avergae
A9EB-9E41,Female,30,Some Travel,Technology,30,NY,Asian or Asian American,Computer Science,Machine Learning Engineer,Married,228438,1,No,No,10,6,9,10,No Formal Qualifications,Above_Avergae
C25C-C434,Female,35,Frequent Traveller,Technology,39,CA,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Single,71257,0,No,No,10,1,6,10,Masters ,Above_Avergae
F265-79B0,Female,37,Frequent Traveller,Technology,14,CA,Mixed or multiple ethnic groups,Computer Science,Machine Learning Engineer,Married,99936,1,No,No,10,9,10,6,Masters ,Above_Avergae
9E7A-1F70,Female,29,Some Travel,Sales,4,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Single,129356,0,No,Yes,5,1,1,2,High School ,Above_Avergae
D199-1896,Female,42,Some Travel,Sales,39,CA,White,Economics,Sales Executive,Married,206277,2,No,No,10,6,10,1,Bachelors ,Above_Avergae
9AAD-D3C1,Female,45,Some Travel,Sales,43,CA,Black or African American,Other,Sales Executive,Divorced,106610,1,Yes,No,10,0,7,5,High School ,Above_Avergae
9D7B-9B37,Female,28,Some Travel,Sales,8,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Married,194964,1,Yes,No,10,2,2,8,Bachelors ,Below_Average
E9B9-3944,Male,42,Some Travel,Technology,5,NY,Mixed or multiple ethnic groups,Computer Science,Data Scientist,Single,47461,0,No,No,10,4,7,5,No Formal Qualifications,Above_Avergae
4CCA-B1E6,Male,43,Some Travel,Sales,39,CA,White,Marketing,Sales Executive,Divorced,176705,1,No,No,10,5,7,7,High School ,Above_Avergae
A4A4-F49C,Male,34,Some Travel,Technology,40,IL,White,Computer Science,Senior Software Engineer,Married,97542,3,No,No,10,10,10,7,Bachelors ,Above_Avergae
FE2B-3DC7,Female,28,Some Travel,Technology,23,NY,White,Information Systems,Data Scientist,Married,35606,3,Yes,Yes,5,3,4,5,Bachelors ,Below_Average
C6D7-A568,Female,42,No Travel ,Sales,10,CA,White,Marketing,Sales Representative,Married,48922,1,No,No,10,3,9,9,High School ,Above_Avergae
3560-C117,Female,28,Frequent Traveller,Technology,4,CA,Mixed or multiple ethnic groups,Computer Science,Data Scientist,Married,65659,1,Yes,Yes,2,0,0,0,Bachelors ,Below_Average
9169-FC4B,Male,28,Some Travel,Human Resources,18,CA,Native Hawaiian ,Economics,HR Executive,Married,179561,1,No,Yes,1,0,0,1,High School ,Below_Average
49B2-0364,Male,45,Frequent Traveller,Sales,1,NY,Black or African American,Marketing,Sales Representative,Married,70487,1,No,No,10,0,7,3,Bachelors ,Above_Avergae
4404-DE5A,Female,32,Some Travel,Technology,39,CA,Asian or Asian American,Computer Science,Software Engineer,Single,68256,0,No,No,10,7,9,6,No Formal Qualifications,Above_Avergae
F9B6-C80B,Female,43,Some Travel,Technology,10,CA,White,Computer Science,Software Engineer,Divorced,43211,1,No,No,10,2,6,9,Bachelors ,Above_Avergae
B1EC-849B,Female,28,Some Travel,Sales,1,CA,White,Marketing,Sales Executive,Married,87039,1,No,No,10,3,5,4,Masters ,Below_Average
7B98-EA6F,Male,44,Some Travel,Technology,23,CA,Native Hawaiian ,Information Systems,Data Scientist,Single,108623,0,No,No,10,3,3,8,Bachelors ,Above_Avergae
C385-CDBE,Female,36,Some Travel,Technology,41,NY,White,Computer Science,Machine Learning Engineer,Single,218940,0,Yes,No,10,6,8,5,Bachelors ,Above_Avergae
64D6-0D5F,Non-Binary,37,Some Travel,Technology,28,CA,Black or African American,Information Systems,Analytics Manager,Single,368494,0,Yes,No,10,8,9,6,Bachelors ,Above_Avergae
9085-1FE8,Female,35,Some Travel,Technology,32,NY,Mixed or multiple ethnic groups,Business Studies,Data Scientist,Married,119917,1,Yes,No,10,5,7,4,High School ,Above_Avergae
9728-1A5B,Male,48,Some Travel,Sales,33,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,191771,1,No,No,10,0,10,4,High School ,Above_Avergae
3EB2-9111,Male,48,Some Travel,Technology,26,IL,White,Information Systems,Data Scientist,Divorced,35749,2,No,No,10,7,7,8,Masters ,Above_Avergae
C330-DAF4,Female,34,Some Travel,Sales,16,NY,White,Economics,Sales Executive,Divorced,100710,1,Yes,No,10,10,10,2,High School ,Above_Avergae
041A-31B0,Female,34,Some Travel,Technology,41,NY,Black or African American,Computer Science,Software Engineer,Married,50386,1,No,No,10,8,9,10,Bachelors ,Above_Avergae
8EE9-E86D,Male,46,Some Travel,Human Resources,45,IL,White,Human Resources,Recruiter,Divorced,48740,3,Yes,Yes,10,8,9,6,Bachelors ,Above_Avergae
692B-7152,Male,47,Some Travel,Sales,42,CA,Asian or Asian American,Marketing,Sales Executive,Married,249553,1,No,No,10,3,4,9,Bachelors ,Above_Avergae
022A-0219,Female,32,Frequent Traveller,Technology,14,IL,American Indian or Alaska Native,Business Studies,Software Engineer,Married,86639,0,No,No,10,3,9,5,Bachelors ,Above_Avergae
2F85-AF81,Non-Binary,42,Some Travel,Technology,12,CA,White,Business Studies,Senior Software Engineer,Married,167089,1,No,No,10,7,9,8,Masters ,Above_Avergae
DFE3-6FA7,Female,43,Frequent Traveller,Sales,5,CA,American Indian or Alaska Native,Marketing,Sales Executive,Single,350525,0,Yes,Yes,9,3,9,6,Bachelors ,Above_Avergae
5B08-EF96,Female,36,No Travel ,Technology,28,CA,Asian or Asian American,Other,Data Scientist,Divorced,77136,2,No,No,10,10,10,10,Masters ,Above_Avergae
52DD-757F,Female,48,No Travel ,Technology,40,CA,White,Information Systems,Machine Learning Engineer,Divorced,92884,1,No,No,10,5,9,2,High School ,Above_Avergae
E7D3-03C9,Male,42,Some Travel,Sales,26,CA,White,Marketing,Sales Executive,Single,91179,0,No,No,10,7,9,0,Masters ,Above_Avergae
7C80-94E0,Female,33,Some Travel,Technology,36,CA,Asian or Asian American,Computer Science,Machine Learning Engineer,Single,88726,0,No,No,9,8,8,6,Bachelors ,Above_Avergae
EE04-1533,Female,47,Frequent Traveller,Sales,19,CA,American Indian or Alaska Native,Technical Degree,Sales Representative,Married,46684,1,No,No,9,4,9,3,Bachelors ,Above_Avergae
67ED-A630,Male,29,Some Travel,Sales,38,CA,Asian or Asian American,Marketing,Sales Executive,Married,102061,1,No,No,9,5,9,5,Masters ,Above_Avergae
D351-C7E4,Female,42,Some Travel,Technology,9,CA,Asian or Asian American,Information Systems,Data Scientist,Married,73577,1,No,No,9,9,9,6,High School ,Above_Avergae
86E2-73D1,Male,39,Some Travel,Technology,3,CA,Black or African American,Computer Science,Machine Learning Engineer,Single,81115,0,No,No,9,2,4,0,Bachelors ,Above_Avergae
8583-9174,Female,46,Frequent Traveller,Technology,16,NY,White,Computer Science,Software Engineer,Single,100717,0,Yes,No,9,5,9,7,High School ,Above_Avergae
6176-3BEE,Male,29,Some Travel,Sales,20,NY,Black or African American,Marketing,Sales Executive,Single,149688,0,Yes,Yes,2,2,2,2,Bachelors ,Above_Avergae
AF58-5D1B,Female,36,Some Travel,Technology,35,NY,White,Computer Science,Software Engineer,Married,60585,2,No,No,9,0,7,9,High School ,Above_Avergae
16FB-8835,Female,46,Frequent Traveller,Technology,24,NY,White,Computer Science,Engineering Manager,Married,514945,0,Yes,No,9,4,7,7,Bachelors ,Above_Avergae
A71E-A9DC,Female,31,Frequent Traveller,Sales,21,NY,Asian or Asian American,Marketing,Sales Executive,Single,253719,0,No,No,9,2,4,3,Bachelors ,Above_Avergae
CC2F-670E,Male,29,Frequent Traveller,Technology,26,CA,White,Computer Science,Data Scientist,Single,78541,0,Yes,Yes,6,5,5,2,Bachelors ,Above_Avergae
67D7-9785,Female,38,Frequent Traveller,Technology,6,CA,Black or African American,Information Systems,Senior Software Engineer,Single,126515,0,No,No,9,7,9,4,Bachelors ,Above_Avergae
