EmployeeID,PerformanceID,Age,BusinessTravel,Department,Attrition,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,RelationshipSatisfaction_text,EnvironmentSatisfaction_text,JobSatisfaction_text,TrainingOpportunitiesWithinYear,WorkLifeBalance,ManagerRating,SelfRating,SelfRating_text,ManagerRating_text
95D7-1CE9,PR2235,43,Some Travel,Human Resources,No,5,4,4,Satisfied ,Very Satisfied,Satisfied ,2,5,2,3,Meets Expectation,Needs Improvement
95D7-1CE9,PR280,43,Some Travel,Human Resources,No,5,2,3,Neutral,Very Satisfied,Dissatisfied,1,2,4,4,Exceeds Expectation ,Exceeds Expectation 
95D7-1CE9,PR2981,43,Some Travel,Human Resources,No,3,4,2,Dissatisfied,Neutral,Satisfied ,3,2,3,3,Meets Expectation,Meets Expectation
95D7-1CE9,PR3851,43,Some Travel,Human Resources,No,4,2,3,Neutral,Satisfied ,Dissatisfied,3,5,2,3,Meets Expectation,Needs Improvement
95D7-1CE9,PR4841,43,Some Travel,Human Resources,No,4,4,3,Neutral,Satisfied ,Satisfied ,3,4,3,4,Exceeds Expectation ,Meets Expectation
95D7-1CE9,PR5918,43,Some Travel,Human Resources,No,4,5,3,Neutral,Satisfied ,Very Satisfied,3,4,3,4,Exceeds Expectation ,Meets Expectation
95D7-1CE9,PR599,43,Some Travel,Human Resources,No,3,4,3,Neutral,Neutral,Satisfied ,1,5,4,4,Exceeds Expectation ,Exceeds Expectation 
47A0-559B,PR1016,39,Some Travel,Technology,No,3,5,3,Neutral,Neutral,Very Satisfied,3,2,3,3,Meets Expectation,Meets Expectation
47A0-559B,PR1562,39,Some Travel,Technology,No,4,5,5,Very Satisfied,Satisfied ,Very Satisfied,1,5,3,4,Exceeds Expectation ,Meets Expectation
47A0-559B,PR2211,39,Some Travel,Technology,No,4,3,4,Satisfied ,Satisfied ,Neutral,3,2,4,4,Exceeds Expectation ,Exceeds Expectation 
47A0-559B,PR267,39,Some Travel,Technology,No,3,5,5,Very Satisfied,Neutral,Very Satisfied,1,2,5,5,Above and Beyond,Above and Beyond
47A0-559B,PR2954,39,Some Travel,Technology,No,4,4,3,Neutral,Satisfied ,Satisfied ,3,5,2,3,Meets Expectation,Needs Improvement
47A0-559B,PR3818,39,Some Travel,Technology,No,4,5,2,Dissatisfied,Satisfied ,Very Satisfied,3,2,4,5,Above and Beyond,Exceeds Expectation 
47A0-559B,PR4807,39,Some Travel,Technology,No,1,1,2,Dissatisfied,Very Dissatisfied,Very Dissatisfied,1,2,3,3,Meets Expectation,Meets Expectation
47A0-559B,PR582,39,Some Travel,Technology,No,5,4,3,Neutral,Very Satisfied,Satisfied ,1,2,5,5,Above and Beyond,Above and Beyond
47A0-559B,PR5879,39,Some Travel,Technology,No,1,4,3,Neutral,Very Dissatisfied,Satisfied ,2,3,3,3,Meets Expectation,Meets Expectation
42CC-040A,PR1107,29,Some Travel,Human Resources,Yes,4,3,2,Dissatisfied,Satisfied ,Neutral,1,5,2,3,Meets Expectation,Needs Improvement
42CC-040A,PR137,29,Some Travel,Human Resources,Yes,5,2,4,Satisfied ,Very Satisfied,Dissatisfied,2,5,3,4,Exceeds Expectation ,Meets Expectation
42CC-040A,PR1662,29,Some Travel,Human Resources,Yes,4,3,5,Very Satisfied,Satisfied ,Neutral,1,4,3,4,Exceeds Expectation ,Meets Expectation
42CC-040A,PR2321,29,Some Travel,Human Resources,Yes,4,3,2,Dissatisfied,Satisfied ,Neutral,1,3,3,4,Exceeds Expectation ,Meets Expectation
42CC-040A,PR3078,29,Some Travel,Human Resources,Yes,4,5,4,Satisfied ,Satisfied ,Very Satisfied,3,4,3,4,Exceeds Expectation ,Meets Expectation
42CC-040A,PR332,29,Some Travel,Human Resources,Yes,4,5,4,Satisfied ,Satisfied ,Very Satisfied,2,5,5,5,Above and Beyond,Above and Beyond
42CC-040A,PR3962,29,Some Travel,Human Resources,Yes,3,4,5,Very Satisfied,Neutral,Satisfied ,3,5,4,4,Exceeds Expectation ,Exceeds Expectation 
42CC-040A,PR4958,29,Some Travel,Human Resources,Yes,3,4,3,Neutral,Neutral,Satisfied ,1,5,2,3,Meets Expectation,Needs Improvement
42CC-040A,PR661,29,Some Travel,Human Resources,Yes,5,2,5,Very Satisfied,Very Satisfied,Dissatisfied,2,3,2,3,Meets Expectation,Needs Improvement
C219-6C2E,PR1325,34,Some Travel,Sales,No,4,4,2,Dissatisfied,Satisfied ,Satisfied ,3,5,4,4,Exceeds Expectation ,Exceeds Expectation 
C219-6C2E,PR1949,34,Some Travel,Sales,No,5,5,2,Dissatisfied,Very Satisfied,Very Satisfied,1,4,4,5,Above and Beyond,Exceeds Expectation 
C219-6C2E,PR2661,34,Some Travel,Sales,No,3,4,2,Dissatisfied,Neutral,Satisfied ,2,3,5,5,Above and Beyond,Above and Beyond
C219-6C2E,PR3486,34,Some Travel,Sales,No,4,4,4,Satisfied ,Satisfied ,Satisfied ,2,2,3,3,Meets Expectation,Meets Expectation
C219-6C2E,PR420,34,Some Travel,Sales,No,5,5,2,Dissatisfied,Very Satisfied,Very Satisfied,2,2,4,4,Exceeds Expectation ,Exceeds Expectation 
C219-6C2E,PR4435,34,Some Travel,Sales,No,4,5,4,Satisfied ,Satisfied ,Very Satisfied,1,5,4,5,Above and Beyond,Exceeds Expectation 
C219-6C2E,PR5480,34,Some Travel,Sales,No,4,2,3,Neutral,Satisfied ,Dissatisfied,3,3,2,3,Meets Expectation,Needs Improvement
C219-6C2E,PR6598,34,Some Travel,Sales,No,4,2,4,Satisfied ,Satisfied ,Dissatisfied,3,2,5,5,Above and Beyond,Above and Beyond
C219-6C2E,PR810,34,Some Travel,Sales,No,4,3,3,Neutral,Satisfied ,Neutral,1,4,2,3,Meets Expectation,Needs Improvement
D906-B674,PR1199,42,No Travel ,Technology,No,3,3,3,Neutral,Neutral,Neutral,2,3,4,5,Above and Beyond,Exceeds Expectation 
D906-B674,PR1777,42,No Travel ,Technology,No,4,5,5,Very Satisfied,Satisfied ,Very Satisfied,3,4,4,4,Exceeds Expectation ,Exceeds Expectation 
D906-B674,PR2450,42,No Travel ,Technology,No,4,5,4,Satisfied ,Satisfied ,Very Satisfied,3,2,3,4,Exceeds Expectation ,Meets Expectation
D906-B674,PR3232,42,No Travel ,Technology,No,5,3,5,Very Satisfied,Very Satisfied,Neutral,3,2,4,4,Exceeds Expectation ,Exceeds Expectation 
D906-B674,PR368,42,No Travel ,Technology,No,3,5,5,Very Satisfied,Neutral,Very Satisfied,1,3,5,5,Above and Beyond,Above and Beyond
D906-B674,PR4140,42,No Travel ,Technology,No,4,3,5,Very Satisfied,Satisfied ,Neutral,3,4,5,5,Above and Beyond,Above and Beyond
D906-B674,PR5152,42,No Travel ,Technology,No,4,5,4,Satisfied ,Satisfied ,Very Satisfied,2,4,4,5,Above and Beyond,Exceeds Expectation 
D906-B674,PR6255,42,No Travel ,Technology,No,3,5,3,Neutral,Neutral,Very Satisfied,3,2,4,5,Above and Beyond,Exceeds Expectation 
D906-B674,PR730,42,No Travel ,Technology,No,3,5,2,Dissatisfied,Neutral,Very Satisfied,3,3,4,4,Exceeds Expectation ,Exceeds Expectation 
3C7D-86ED,PR1483,40,Some Travel,Sales,No,5,2,2,Dissatisfied,Very Satisfied,Dissatisfied,2,5,4,5,Above and Beyond,Exceeds Expectation 
3C7D-86ED,PR2121,40,Some Travel,Sales,No,5,5,3,Neutral,Very Satisfied,Very Satisfied,3,2,2,3,Meets Expectation,Needs Improvement
3C7D-86ED,PR215,40,Some Travel,Sales,No,5,2,4,Satisfied ,Very Satisfied,Dissatisfied,1,3,2,3,Meets Expectation,Needs Improvement
3C7D-86ED,PR2854,40,Some Travel,Sales,No,3,5,5,Very Satisfied,Neutral,Very Satisfied,3,5,3,3,Meets Expectation,Meets Expectation
3C7D-86ED,PR3709,40,Some Travel,Sales,No,4,2,2,Dissatisfied,Satisfied ,Dissatisfied,3,3,2,3,Meets Expectation,Needs Improvement
3C7D-86ED,PR4683,40,Some Travel,Sales,No,3,3,3,Neutral,Neutral,Neutral,1,3,4,5,Above and Beyond,Exceeds Expectation 
3C7D-86ED,PR516,40,Some Travel,Sales,No,5,2,5,Very Satisfied,Very Satisfied,Dissatisfied,2,4,5,5,Above and Beyond,Above and Beyond
3C7D-86ED,PR54,40,Some Travel,Sales,No,4,5,3,Neutral,Satisfied ,Very Satisfied,2,5,4,4,Exceeds Expectation ,Exceeds Expectation 
3C7D-86ED,PR940,40,Some Travel,Sales,No,5,2,2,Dissatisfied,Very Satisfied,Dissatisfied,3,4,4,4,Exceeds Expectation ,Exceeds Expectation 
3D71-8DC2,PR1340,38,Some Travel,Sales,No,4,2,3,Neutral,Satisfied ,Dissatisfied,2,4,5,5,Above and Beyond,Above and Beyond
3D71-8DC2,PR1966,38,Some Travel,Sales,No,3,2,3,Neutral,Neutral,Dissatisfied,3,5,2,3,Meets Expectation,Needs Improvement
3D71-8DC2,PR2680,38,Some Travel,Sales,No,5,2,3,Neutral,Very Satisfied,Dissatisfied,2,5,4,4,Exceeds Expectation ,Exceeds Expectation 
3D71-8DC2,PR3509,38,Some Travel,Sales,No,5,4,2,Dissatisfied,Very Satisfied,Satisfied ,3,3,4,4,Exceeds Expectation ,Exceeds Expectation 
3D71-8DC2,PR425,38,Some Travel,Sales,No,4,5,5,Very Satisfied,Satisfied ,Very Satisfied,1,4,3,4,Exceeds Expectation ,Meets Expectation
3D71-8DC2,PR4459,38,Some Travel,Sales,No,4,5,2,Dissatisfied,Satisfied ,Very Satisfied,1,5,3,4,Exceeds Expectation ,Meets Expectation
3D71-8DC2,PR5506,38,Some Travel,Sales,No,3,2,5,Very Satisfied,Neutral,Dissatisfied,3,2,4,4,Exceeds Expectation ,Exceeds Expectation 
3D71-8DC2,PR6630,38,Some Travel,Sales,No,3,3,2,Dissatisfied,Neutral,Neutral,3,3,5,5,Above and Beyond,Above and Beyond
3D71-8DC2,PR821,38,Some Travel,Sales,No,4,4,4,Satisfied ,Satisfied ,Satisfied ,1,3,3,3,Meets Expectation,Meets Expectation
5476-CA0D,PR1461,31,Frequent Traveller,Technology,Yes,3,4,2,Dissatisfied,Neutral,Satisfied ,2,3,2,3,Meets Expectation,Needs Improvement
5476-CA0D,PR204,31,Frequent Traveller,Technology,Yes,3,5,3,Neutral,Neutral,Very Satisfied,2,5,2,3,Meets Expectation,Needs Improvement
5476-CA0D,PR2094,31,Frequent Traveller,Technology,Yes,4,3,5,Very Satisfied,Satisfied ,Neutral,2,5,3,4,Exceeds Expectation ,Meets Expectation
5476-CA0D,PR2824,31,Frequent Traveller,Technology,Yes,3,5,4,Satisfied ,Neutral,Very Satisfied,2,5,2,3,Meets Expectation,Needs Improvement
5476-CA0D,PR3676,31,Frequent Traveller,Technology,Yes,2,4,3,Neutral,Dissatisfied,Satisfied ,3,1,2,3,Meets Expectation,Needs Improvement
5476-CA0D,PR44,31,Frequent Traveller,Technology,Yes,5,3,5,Very Satisfied,Very Satisfied,Neutral,3,3,5,5,Above and Beyond,Above and Beyond
5476-CA0D,PR4648,31,Frequent Traveller,Technology,Yes,5,2,2,Dissatisfied,Very Satisfied,Dissatisfied,1,2,2,3,Meets Expectation,Needs Improvement
5476-CA0D,PR500,31,Frequent Traveller,Technology,Yes,4,4,2,Dissatisfied,Satisfied ,Satisfied ,2,5,4,5,Above and Beyond,Exceeds Expectation 
5476-CA0D,PR5710,31,Frequent Traveller,Technology,Yes,5,4,3,Neutral,Very Satisfied,Satisfied ,1,5,3,3,Meets Expectation,Meets Expectation
5476-CA0D,PR920,31,Frequent Traveller,Technology,Yes,3,4,4,Satisfied ,Neutral,Satisfied ,2,2,4,5,Above and Beyond,Exceeds Expectation 
73CF-4956,PR1527,32,Some Travel,Technology,No,3,4,4,Satisfied ,Neutral,Satisfied ,2,2,3,3,Meets Expectation,Meets Expectation
73CF-4956,PR2170,32,Some Travel,Technology,No,4,5,4,Satisfied ,Satisfied ,Very Satisfied,3,2,5,5,Above and Beyond,Above and Beyond
73CF-4956,PR244,32,Some Travel,Technology,No,3,5,4,Satisfied ,Neutral,Very Satisfied,3,3,2,3,Meets Expectation,Needs Improvement
73CF-4956,PR2907,32,Some Travel,Technology,No,4,5,2,Dissatisfied,Satisfied ,Very Satisfied,3,3,4,5,Above and Beyond,Exceeds Expectation 
73CF-4956,PR3765,32,Some Travel,Technology,No,3,3,3,Neutral,Neutral,Neutral,3,3,2,3,Meets Expectation,Needs Improvement
73CF-4956,PR4745,32,Some Travel,Technology,No,1,3,4,Satisfied ,Very Dissatisfied,Neutral,2,3,5,5,Above and Beyond,Above and Beyond
73CF-4956,PR553,32,Some Travel,Technology,No,4,5,2,Dissatisfied,Satisfied ,Very Satisfied,1,5,4,4,Exceeds Expectation ,Exceeds Expectation 
73CF-4956,PR77,32,Some Travel,Technology,No,4,4,5,Very Satisfied,Satisfied ,Satisfied ,1,4,5,5,Above and Beyond,Above and Beyond
73CF-4956,PR982,32,Some Travel,Technology,No,5,4,5,Very Satisfied,Very Satisfied,Satisfied ,2,5,3,3,Meets Expectation,Meets Expectation
277A-A6FA,PR1273,35,Some Travel,Technology,No,3,2,2,Dissatisfied,Neutral,Dissatisfied,1,2,5,5,Above and Beyond,Above and Beyond
277A-A6FA,PR1874,35,Some Travel,Technology,No,3,4,3,Neutral,Neutral,Satisfied ,1,3,3,3,Meets Expectation,Meets Expectation
277A-A6FA,PR2575,35,Some Travel,Technology,No,3,4,3,Neutral,Neutral,Satisfied ,1,2,4,4,Exceeds Expectation ,Exceeds Expectation 
277A-A6FA,PR3386,35,Some Travel,Technology,No,3,4,5,Very Satisfied,Neutral,Satisfied ,1,4,5,5,Above and Beyond,Above and Beyond
277A-A6FA,PR401,35,Some Travel,Technology,No,4,4,3,Neutral,Satisfied ,Satisfied ,1,4,4,5,Above and Beyond,Exceeds Expectation 
277A-A6FA,PR4321,35,Some Travel,Technology,No,4,4,4,Satisfied ,Satisfied ,Satisfied ,2,2,3,3,Meets Expectation,Meets Expectation
277A-A6FA,PR5353,35,Some Travel,Technology,No,3,3,3,Neutral,Neutral,Neutral,1,5,4,4,Exceeds Expectation ,Exceeds Expectation 
277A-A6FA,PR777,35,Some Travel,Technology,No,4,3,5,Very Satisfied,Satisfied ,Neutral,2,4,2,3,Meets Expectation,Needs Improvement
8BAB-B4A6,PR1416,38,Some Travel,Sales,No,4,2,4,Satisfied ,Satisfied ,Dissatisfied,3,3,4,5,Above and Beyond,Exceeds Expectation 
8BAB-B4A6,PR177,38,Some Travel,Sales,No,5,4,3,Neutral,Very Satisfied,Satisfied ,3,3,3,3,Meets Expectation,Meets Expectation
8BAB-B4A6,PR2046,38,Some Travel,Sales,No,5,5,3,Neutral,Very Satisfied,Very Satisfied,2,5,4,5,Above and Beyond,Exceeds Expectation 
8BAB-B4A6,PR23,38,Some Travel,Sales,No,3,4,4,Satisfied ,Neutral,Satisfied ,3,3,4,5,Above and Beyond,Exceeds Expectation 
8BAB-B4A6,PR2771,38,Some Travel,Sales,No,3,2,2,Dissatisfied,Neutral,Dissatisfied,3,2,3,3,Meets Expectation,Meets Expectation
8BAB-B4A6,PR3617,38,Some Travel,Sales,No,3,2,4,Satisfied ,Neutral,Dissatisfied,3,3,4,4,Exceeds Expectation ,Exceeds Expectation 
8BAB-B4A6,PR470,38,Some Travel,Sales,No,3,3,2,Dissatisfied,Neutral,Neutral,2,3,3,4,Exceeds Expectation ,Meets Expectation
8BAB-B4A6,PR883,38,Some Travel,Sales,No,5,5,2,Dissatisfied,Very Satisfied,Very Satisfied,2,4,2,3,Meets Expectation,Needs Improvement
111D-E5EF,PR1478,37,Some Travel,Technology,No,4,5,5,Very Satisfied,Satisfied ,Very Satisfied,1,4,4,5,Above and Beyond,Exceeds Expectation 
111D-E5EF,PR2115,37,Some Travel,Technology,No,4,4,3,Neutral,Satisfied ,Satisfied ,3,5,4,5,Above and Beyond,Exceeds Expectation 
111D-E5EF,PR212,37,Some Travel,Technology,No,5,4,3,Neutral,Very Satisfied,Satisfied ,2,3,3,3,Meets Expectation,Meets Expectation
111D-E5EF,PR2847,37,Some Travel,Technology,No,3,5,4,Satisfied ,Neutral,Very Satisfied,3,5,5,5,Above and Beyond,Above and Beyond
111D-E5EF,PR3701,37,Some Travel,Technology,No,5,4,3,Neutral,Very Satisfied,Satisfied ,3,4,4,4,Exceeds Expectation ,Exceeds Expectation 
111D-E5EF,PR51,37,Some Travel,Technology,No,3,2,3,Neutral,Neutral,Dissatisfied,2,2,4,4,Exceeds Expectation ,Exceeds Expectation 
111D-E5EF,PR512,37,Some Travel,Technology,No,4,2,2,Dissatisfied,Satisfied ,Dissatisfied,2,2,2,3,Meets Expectation,Needs Improvement
111D-E5EF,PR935,37,Some Travel,Technology,No,5,3,5,Very Satisfied,Very Satisfied,Neutral,2,3,3,3,Meets Expectation,Meets Expectation
97F4-0B14,PR1479,33,Some Travel,Technology,No,3,3,3,Neutral,Neutral,Neutral,3,3,4,5,Above and Beyond,Exceeds Expectation 
97F4-0B14,PR2116,33,Some Travel,Technology,No,3,2,3,Neutral,Neutral,Dissatisfied,1,5,3,4,Exceeds Expectation ,Meets Expectation
97F4-0B14,PR2848,33,Some Travel,Technology,No,4,5,2,Dissatisfied,Satisfied ,Very Satisfied,3,5,5,5,Above and Beyond,Above and Beyond
97F4-0B14,PR3702,33,Some Travel,Technology,No,3,5,4,Satisfied ,Neutral,Very Satisfied,2,2,4,5,Above and Beyond,Exceeds Expectation 
97F4-0B14,PR4675,33,Some Travel,Technology,No,3,2,5,Very Satisfied,Neutral,Dissatisfied,1,2,4,4,Exceeds Expectation ,Exceeds Expectation 
97F4-0B14,PR513,33,Some Travel,Technology,No,5,5,4,Satisfied ,Very Satisfied,Very Satisfied,2,5,3,4,Exceeds Expectation ,Meets Expectation
97F4-0B14,PR5738,33,Some Travel,Technology,No,4,3,5,Very Satisfied,Satisfied ,Neutral,1,3,4,4,Exceeds Expectation ,Exceeds Expectation 
97F4-0B14,PR936,33,Some Travel,Technology,No,3,2,5,Very Satisfied,Neutral,Dissatisfied,3,5,2,3,Meets Expectation,Needs Improvement
5C03-1009,PR1048,42,Some Travel,Technology,No,3,2,5,Very Satisfied,Neutral,Dissatisfied,1,5,4,5,Above and Beyond,Exceeds Expectation 
5C03-1009,PR1597,42,Some Travel,Technology,No,3,5,5,Very Satisfied,Neutral,Very Satisfied,3,5,3,3,Meets Expectation,Meets Expectation
5C03-1009,PR2250,42,Some Travel,Technology,No,4,4,5,Very Satisfied,Satisfied ,Satisfied ,3,3,4,4,Exceeds Expectation ,Exceeds Expectation 
5C03-1009,PR2996,42,Some Travel,Technology,No,4,5,4,Satisfied ,Satisfied ,Very Satisfied,2,5,4,4,Exceeds Expectation ,Exceeds Expectation 
5C03-1009,PR3871,42,Some Travel,Technology,No,5,4,5,Very Satisfied,Very Satisfied,Satisfied ,2,4,3,3,Meets Expectation,Meets Expectation
5C03-1009,PR4862,42,Some Travel,Technology,No,5,3,3,Neutral,Very Satisfied,Neutral,1,4,3,3,Meets Expectation,Meets Expectation
5C03-1009,PR5940,42,Some Travel,Technology,No,3,4,2,Dissatisfied,Neutral,Satisfied ,2,3,4,5,Above and Beyond,Exceeds Expectation 
5C03-1009,PR611,42,Some Travel,Technology,No,4,2,5,Very Satisfied,Satisfied ,Dissatisfied,1,4,4,5,Above and Beyond,Exceeds Expectation 
BD1B-53A3,PR1127,43,Some Travel,Sales,No,5,4,2,Dissatisfied,Very Satisfied,Satisfied ,1,5,3,4,Exceeds Expectation ,Meets Expectation
BD1B-53A3,PR1683,43,Some Travel,Sales,No,4,3,2,Dissatisfied,Satisfied ,Neutral,1,4,3,4,Exceeds Expectation ,Meets Expectation
BD1B-53A3,PR2344,43,Some Travel,Sales,No,3,5,3,Neutral,Neutral,Very Satisfied,1,5,3,3,Meets Expectation,Meets Expectation
BD1B-53A3,PR3104,43,Some Travel,Sales,No,4,5,3,Neutral,Satisfied ,Very Satisfied,1,2,3,3,Meets Expectation,Meets Expectation
BD1B-53A3,PR3994,43,Some Travel,Sales,No,4,4,5,Very Satisfied,Satisfied ,Satisfied ,2,3,2,3,Meets Expectation,Needs Improvement
BD1B-53A3,PR4994,43,Some Travel,Sales,No,3,5,4,Satisfied ,Neutral,Very Satisfied,3,3,5,5,Above and Beyond,Above and Beyond
BD1B-53A3,PR6078,43,Some Travel,Sales,No,5,4,2,Dissatisfied,Very Satisfied,Satisfied ,1,3,4,5,Above and Beyond,Exceeds Expectation 
BD1B-53A3,PR678,43,Some Travel,Sales,No,5,4,3,Neutral,Very Satisfied,Satisfied ,2,4,4,5,Above and Beyond,Exceeds Expectation 
DFA9-990E,PR1342,43,No Travel ,Sales,No,4,4,5,Very Satisfied,Satisfied ,Satisfied ,2,2,4,4,Exceeds Expectation ,Exceeds Expectation 
DFA9-990E,PR1968,43,No Travel ,Sales,No,4,2,4,Satisfied ,Satisfied ,Dissatisfied,2,4,4,5,Above and Beyond,Exceeds Expectation 
DFA9-990E,PR2682,43,No Travel ,Sales,No,4,5,3,Neutral,Satisfied ,Very Satisfied,1,4,3,3,Meets Expectation,Meets Expectation
DFA9-990E,PR3511,43,No Travel ,Sales,No,3,4,4,Satisfied ,Neutral,Satisfied ,2,3,3,4,Exceeds Expectation ,Meets Expectation
DFA9-990E,PR4461,43,No Travel ,Sales,No,5,3,3,Neutral,Very Satisfied,Neutral,1,4,3,3,Meets Expectation,Meets Expectation
DFA9-990E,PR5508,43,No Travel ,Sales,No,4,4,3,Neutral,Satisfied ,Satisfied ,2,5,4,4,Exceeds Expectation ,Exceeds Expectation 
DFA9-990E,PR6632,43,No Travel ,Sales,No,5,3,5,Very Satisfied,Very Satisfied,Neutral,2,2,4,4,Exceeds Expectation ,Exceeds Expectation 
DFA9-990E,PR823,43,No Travel ,Sales,No,5,5,5,Very Satisfied,Very Satisfied,Very Satisfied,3,3,4,5,Above and Beyond,Exceeds Expectation 
ED73-F078,PR1219,45,Frequent Traveller,Technology,No,4,4,3,Neutral,Satisfied ,Satisfied ,3,5,3,3,Meets Expectation,Meets Expectation
ED73-F078,PR1808,45,Frequent Traveller,Technology,No,5,2,4,Satisfied ,Very Satisfied,Dissatisfied,1,3,4,4,Exceeds Expectation ,Exceeds Expectation 
ED73-F078,PR2489,45,Frequent Traveller,Technology,No,4,2,5,Very Satisfied,Satisfied ,Dissatisfied,1,4,3,3,Meets Expectation,Meets Expectation
ED73-F078,PR3280,45,Frequent Traveller,Technology,No,4,2,4,Satisfied ,Satisfied ,Dissatisfied,1,5,3,3,Meets Expectation,Meets Expectation
ED73-F078,PR4189,45,Frequent Traveller,Technology,No,5,4,4,Satisfied ,Very Satisfied,Satisfied ,1,4,5,5,Above and Beyond,Above and Beyond
ED73-F078,PR5205,45,Frequent Traveller,Technology,No,4,2,4,Satisfied ,Satisfied ,Dissatisfied,3,3,5,5,Above and Beyond,Above and Beyond
ED73-F078,PR6309,45,Frequent Traveller,Technology,No,4,5,4,Satisfied ,Satisfied ,Very Satisfied,1,5,4,5,Above and Beyond,Exceeds Expectation 
ED73-F078,PR745,45,Frequent Traveller,Technology,No,5,5,3,Neutral,Very Satisfied,Very Satisfied,2,5,4,4,Exceeds Expectation ,Exceeds Expectation 
C6EC-FEB5,PR1344,38,Some Travel,Sales,No,5,3,5,Very Satisfied,Very Satisfied,Neutral,3,5,3,4,Exceeds Expectation ,Meets Expectation
C6EC-FEB5,PR1972,38,Some Travel,Sales,No,5,2,5,Very Satisfied,Very Satisfied,Dissatisfied,3,4,3,4,Exceeds Expectation ,Meets Expectation
C6EC-FEB5,PR2686,38,Some Travel,Sales,No,4,2,3,Neutral,Satisfied ,Dissatisfied,2,3,3,4,Exceeds Expectation ,Meets Expectation
C6EC-FEB5,PR3514,38,Some Travel,Sales,No,3,4,4,Satisfied ,Neutral,Satisfied ,3,4,3,4,Exceeds Expectation ,Meets Expectation
C6EC-FEB5,PR4465,38,Some Travel,Sales,No,5,3,2,Dissatisfied,Very Satisfied,Neutral,3,5,2,3,Meets Expectation,Needs Improvement
